kód_obce;názov_obce;voliči_v_zozname;vydané_obálky;platné_hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
535010;Běleč;262;181;181;61;0;0;0;1;11;6;0;23;1;2;0;0;1;0;13;1;0;1;8;11;0;22;19;0;0
532070;Běloky;135;102;101;21;0;0;0;0;12;3;0;12;0;0;0;0;0;0;6;0;3;1;9;8;0;16;10;0;0
532088;Beřovice;272;152;152;50;1;0;0;0;6;0;0;21;0;3;0;0;0;1;13;0;2;3;17;5;0;18;12;0;0
535125;Bílichov;155;99;99;33;0;0;0;0;14;1;0;7;0;0;0;0;0;0;10;1;4;0;8;4;0;8;9;0;0
532100;Blevice;243;172;171;26;0;0;0;1;40;4;0;11;2;3;0;0;0;1;13;1;2;3;14;8;0;22;19;0;1
532118;Brandýsek;1438;894;883;266;3;1;0;2;83;10;0;99;4;7;1;0;1;2;49;3;13;14;98;28;0;128;70;0;1
532126;Braškov;847;625;619;164;0;0;0;2;54;13;0;90;3;5;0;0;0;2;40;0;7;11;41;51;0;101;35;0;0
532142;Bratronice;749;489;487;137;0;0;0;0;54;8;0;75;3;9;3;1;1;1;34;1;10;2;55;19;0;51;23;0;0
532169;Buštěhrad;2508;1645;1639;427;2;3;0;3;115;56;1;246;8;8;2;1;3;3;118;7;35;18;127;125;0;242;87;2;0
532185;Cvrčovice;568;354;353;88;0;0;0;0;45;7;0;53;4;3;1;0;0;0;20;1;5;2;41;19;0;41;22;0;1
532207;Černuc;810;418;414;128;1;0;0;0;40;5;0;36;3;5;0;2;0;5;21;6;4;10;63;10;0;50;23;0;2
532223;Doksy;1263;811;806;222;0;0;0;0;61;14;1;131;5;8;2;0;2;3;53;1;24;14;78;44;0;108;33;0;2
513130;Dolany;188;131;129;27;0;0;0;0;6;2;0;16;3;2;0;0;0;1;20;2;1;1;12;10;3;14;9;0;0
512991;Drnek;141;100;100;19;1;0;0;0;15;4;0;13;0;1;0;0;0;0;16;0;1;0;17;2;0;7;4;0;0
532274;Družec;830;564;563;156;1;1;0;0;40;8;0;92;1;4;2;0;0;4;42;2;10;3;48;39;0;66;43;0;1
532282;Dřetovice;366;226;224;59;1;0;0;0;34;0;1;19;1;2;0;0;1;1;7;0;4;4;41;9;0;24;16;0;0
532291;Dřínov;255;140;140;55;0;1;0;1;17;4;0;11;0;0;0;0;0;0;12;0;1;0;21;1;0;8;7;0;1
513075;Hobšovice;282;141;141;47;0;0;0;3;11;5;1;14;1;0;0;0;0;1;5;0;1;2;21;2;0;20;7;0;0
532312;Horní Bezděkov;482;381;381;95;0;0;0;0;31;15;1;78;2;3;0;0;0;0;22;0;2;2;29;23;0;60;18;0;0
532321;Hořešovice;214;144;142;54;0;0;0;0;11;1;0;34;0;0;0;0;0;1;8;0;1;1;6;9;0;6;10;0;0
535150;Hořešovičky;99;60;60;20;0;0;0;0;11;1;0;4;0;0;0;0;0;0;1;0;3;0;10;1;0;3;6;0;0
532339;Hospozín;415;192;191;60;0;0;0;1;31;4;0;19;0;0;0;1;0;1;19;0;5;1;22;4;0;12;10;0;1
532347;Hostouň;915;573;568;164;1;0;0;1;40;15;2;85;5;5;1;1;1;2;36;2;8;9;55;39;0;68;28;0;0
532355;Hradečno;409;264;263;84;0;0;0;1;17;6;0;41;1;1;0;0;0;0;15;1;2;1;21;20;0;43;9;0;0
532363;Hrdlív;392;251;250;95;0;0;0;0;23;10;0;26;1;4;0;0;1;1;8;0;8;1;23;9;0;22;18;0;0
532371;Hřebeč;1528;979;946;313;1;1;0;2;43;14;1;142;5;5;0;0;0;2;65;1;21;7;86;57;1;140;37;1;1
532398;Chržín;204;124;124;42;0;0;0;1;13;0;0;8;1;0;1;1;0;0;11;0;1;3;14;2;0;14;12;0;0
532401;Jarpice;228;137;137;44;0;0;0;0;28;6;0;12;0;4;1;0;0;0;9;0;0;1;9;5;0;13;5;0;0
532410;Jedomělice;305;203;202;48;0;0;0;3;22;2;0;23;3;3;0;1;0;1;28;0;6;1;22;8;0;17;14;0;0
532428;Jemníky;204;142;142;34;0;0;0;0;15;7;1;22;1;0;0;0;0;0;16;0;0;1;17;6;0;17;5;0;0
532444;Kačice;990;612;612;209;2;0;0;0;64;3;0;70;5;4;0;0;0;1;38;4;9;7;68;13;1;77;37;0;0
532452;Kamenné Žehrovice;1426;930;923;307;1;0;1;0;93;10;0;107;6;9;1;0;5;4;39;0;11;12;99;43;1;114;58;0;2
513032;Kamenný Most;356;197;196;54;0;0;0;0;32;4;0;25;0;1;0;1;1;0;13;1;2;3;21;6;2;21;8;1;0
532053;Kladno;53652;29228;29034;8851;16;13;19;46;2482;664;35;3297;224;203;42;17;39;68;1285;80;594;433;3527;1548;12;3480;2001;9;49
532461;Klobuky;822;434;430;129;0;0;1;3;51;8;0;24;0;1;0;0;2;5;14;1;13;5;56;10;0;45;62;0;0
532479;Kmetiněves;228;137;136;35;0;0;0;0;12;2;0;16;0;3;0;0;1;0;9;1;1;2;26;4;0;19;4;0;1
532487;Knovíz;446;276;275;73;1;0;0;0;20;4;1;44;3;3;0;0;0;2;18;2;3;5;44;11;0;18;23;0;0
532495;Koleč;484;270;269;80;0;0;1;1;35;5;0;22;5;0;0;0;0;0;10;2;3;7;33;6;0;33;26;0;0
535109;Královice;173;124;124;30;0;0;0;0;18;6;0;19;1;0;0;0;0;0;5;0;6;1;22;2;0;9;5;0;0
571512;Kutrovice;89;52;52;10;0;0;0;0;8;0;0;4;0;0;0;0;0;0;5;0;3;0;5;1;0;10;6;0;0
532517;Kvílice;63;39;39;14;0;0;0;0;9;2;0;3;0;0;0;0;0;0;0;1;0;0;4;0;0;4;2;0;0
532525;Kyšice;496;338;338;87;0;0;0;0;33;6;0;49;4;1;0;1;1;0;16;1;18;2;27;24;1;54;13;0;0
541991;Lány;1626;1046;1032;285;1;0;1;1;107;19;5;168;8;13;1;4;2;0;70;3;18;11;64;59;1;119;69;2;1
532533;Ledce;380;247;244;63;0;0;0;0;42;7;0;14;3;3;0;0;0;0;22;0;4;2;37;10;1;25;11;0;0
513041;Lhota;495;363;362;101;1;0;0;1;46;9;1;55;2;1;0;1;2;2;17;1;1;4;30;14;0;48;23;0;2
564150;Libochovičky;49;40;40;12;0;0;0;0;3;1;0;7;0;0;0;0;0;0;2;0;0;0;7;1;0;7;0;0;0
571601;Libovice;266;180;180;42;0;0;0;0;13;9;0;22;0;2;0;4;1;0;7;2;3;3;21;6;0;28;15;0;2
532576;Libušín;2410;1354;1348;411;1;2;2;3;145;25;0;113;15;8;1;0;3;3;85;3;21;18;175;80;0;148;82;1;3
